y,dNdeta,dNdy,PreEq,Hydro
0,2240,0.77593,0.735433,0.0404971
0,2240,1.2187,1.10953,0.109167
0,2240,2.76434,2.64232,0.122017
0,2240,3.02946,2.90336,0.126096
0,2240,3.30696,3.22013,0.0868305
0,2240,2.09563,1.96628,0.129345
0,2240,2.4304,2.36285,0.0675539
0,2240,2.46787,2.38261,0.0852605
0,2240,0.64412,0.54022,0.1039
0,2240,5.27951,5.08904,0.190473
0,2240,3.47023,3.32787,0.14236
0,2240,2.13344,1.9371,0.196347
0,2240,1.88719,1.66854,0.218645
0,2240,2.90001,2.7793,0.120715
0,2240,1.1354,1.03267,0.102734
0,2240,3.75481,3.65225,0.102562
0,2240,5.71709,5.5821,0.134996
0,2240,2.28815,2.19259,0.0955649
0,2240,2.175,2.06556,0.109444
0,2240,2.85881,2.72225,0.13656
0,2240,1.91577,1.76791,0.147855
0,2240,2.09488,1.9766,0.118287
0,2240,3.3523,3.20658,0.145718
0,2240,1.24603,1.13666,0.109373
0,2240,1.13991,1.05838,0.0815286
0,2240,1.31731,1.20336,0.113945
0,2240,1.61596,1.53115,0.0848067
0,2240,2.075,2.00263,0.0723747
0,2240,1.8655,1.76108,0.10442
0,2240,2.51585,2.39812,0.117729
0,2240,5.26998,5.2015,0.0684759
0,2240,4.37893,4.18408,0.194848
0,2240,2.16337,2.09031,0.0730629
0,2240,1.80528,1.49963,0.305647
0,2240,5.30348,5.14152,0.161963
0,2240,2.264,2.14905,0.114956
0,2240,2.04613,1.82927,0.216864
0,2240,2.77244,2.70587,0.0665675
0,2240,1.51531,1.44488,0.0704248
0,2240,2.55591,2.48087,0.0750397
0,2240,2.25425,2.17371,0.0805334
0,2240,1.88325,1.81492,0.06833
0,2240,1.85948,1.74284,0.116641
0,2240,4.27476,4.19664,0.0781215
0,2240,1.81213,1.64816,0.163965
0,2240,5.09742,5.00806,0.0893564
0,2240,3.56809,3.5049,0.0631926
0,2240,2.0767,1.96509,0.111608
0,2240,2.09068,1.92746,0.163224
0,2240,4.07174,3.94048,0.131268
0,2240,2.07131,1.99371,0.077606
