y,dNdeta,dNdy,PreEq,Hydro
0,2240,2.62685,2.5144,0.112452
0,2240,2.44741,2.32555,0.121863
0,2240,3.02345,2.9026,0.120855
0,2240,2.64038,2.52822,0.11216
0,2240,2.75018,2.62598,0.124195
0,2240,2.54789,2.42721,0.120682
0,2240,2.6884,2.57017,0.118227
0,2240,3.10157,2.98366,0.117917
0,2240,2.65318,2.53163,0.121544
0,2240,2.87746,2.76056,0.116903
0,2240,2.82133,2.70005,0.121286
0,2240,2.78896,2.67244,0.116519
0,2240,2.73934,2.62097,0.11837
0,2240,2.66641,2.55094,0.115474
0,2240,2.56115,2.44069,0.120459
0,2240,2.58856,2.47129,0.117278
0,2240,2.83118,2.71708,0.114092
0,2240,2.59431,2.47548,0.118839
0,2240,2.89414,2.78564,0.108506
0,2240,2.43652,2.3153,0.121215
0,2240,2.81317,2.69179,0.121373
0,2240,2.90562,2.77992,0.125703
0,2240,2.63882,2.52058,0.118243
0,2240,2.64648,2.52678,0.119699
0,2240,2.65031,2.53231,0.118001
0,2240,2.57042,2.44688,0.123534
0,2240,2.64135,2.5285,0.112851
0,2240,2.6198,2.50874,0.111064
0,2240,3.00487,2.88686,0.11801
0,2240,2.69638,2.57401,0.122368
0,2240,2.55936,2.44513,0.114224
0,2240,2.38017,2.26933,0.110839
0,2240,2.76183,2.64601,0.115812
0,2240,2.48806,2.36318,0.124871
0,2240,2.55874,2.43239,0.126355
0,2240,2.61853,2.49248,0.126052
0,2240,2.90838,2.78809,0.120292
0,2240,2.96891,2.8507,0.118214
0,2240,2.81229,2.68769,0.124601
0,2240,2.74257,2.62773,0.114838
0,2240,2.82744,2.71085,0.116589
0,2240,2.74702,2.63686,0.110157
0,2240,2.76243,2.64022,0.122209
0,2240,2.63852,2.51714,0.121382
0,2240,3.42271,3.30901,0.1137
0,2240,2.70984,2.59164,0.118204
0,2240,2.84976,2.73204,0.117722
0,2240,2.47192,2.34625,0.125666
0,2240,2.99647,2.8801,0.116372
0,2240,3.17597,3.05102,0.124948
0,2240,3.15083,3.02507,0.12576
0,2240,2.53299,2.41263,0.120359
0,2240,2.72663,2.6103,0.116331
0,2240,2.74866,2.62655,0.122105
