y,dNdeta,dNdy,PreEq,Hydro
0,2240,1.8825,1.80899,0.0735146
0,2240,2.37428,2.29355,0.0807302
0,2240,1.97451,1.89983,0.0746837
0,2240,1.74087,1.65633,0.0845334
0,2240,3.00487,2.9409,0.0639765
0,2240,2.28542,2.20872,0.0767057
0,2240,2.24259,2.1571,0.0854847
0,2240,3.22492,3.16462,0.0602936
0,2240,1.6506,1.57158,0.0790139
0,2240,2.40458,2.3453,0.0592756
0,2240,1.87371,1.80911,0.0646024
0,2240,1.5464,1.49081,0.0555895
0,2240,2.33649,2.27698,0.0595132
0,2240,3.16045,3.10168,0.0587658
0,2240,2.08303,2.02195,0.0610781
0,2240,3.68856,3.62463,0.0639291
0,2240,2.63846,2.57785,0.0606064
0,2240,1.86641,1.81287,0.0535361
0,2240,2.45295,2.39137,0.0615839
0,2240,2.11147,2.04957,0.0618942
0,2240,2.33633,2.25963,0.0767057
0,2240,1.84646,1.76781,0.0786444
0,2240,1.79358,1.72552,0.0680603
0,2240,2.54348,2.48411,0.0593652
0,2240,2.88682,2.8101,0.076719
0,2240,1.9542,1.89041,0.0637917
0,2240,2.07285,2.00593,0.0669182
0,2240,2.96426,2.89968,0.0645896
0,2240,2.31187,2.23942,0.0724484
0,2240,2.90846,2.84171,0.0667424
0,2240,2.54175,2.45972,0.0820228
0,2240,2.78932,2.70785,0.0814706
0,2240,2.11986,2.04112,0.0787362
0,2240,2.13676,2.04522,0.091533
0,2240,2.03601,1.9638,0.0722073
0,2240,2.98151,2.90878,0.0727284
0,2240,2.46818,2.39183,0.0763476
0,2240,1.95614,1.87267,0.0834682
0,2240,2.19681,2.12739,0.0694206
0,2240,2.40592,2.33172,0.0741982
0,2240,2.01652,1.95334,0.063172
0,2240,2.3959,2.33012,0.0657846
0,2240,2.44994,2.37044,0.079506
0,2240,2.01232,1.95841,0.0539126
0,2240,2.59531,2.53937,0.0559472
0,2240,2.73705,2.68082,0.0562385
0,2240,2.06832,2.01045,0.0578709
0,2240,2.41804,2.34058,0.0774679
0,2240,2.41453,2.35967,0.054858
0,2240,2.18266,2.11025,0.0724043
0,2240,2.04887,1.98925,0.0596189
0,2240,2.15685,2.09266,0.0641902
0,2240,2.14259,2.06149,0.0811001
0,2240,2.26794,2.20809,0.0598582
